step,loss,loss/mean,loss/std,lr,momentum
step,loss,loss/mean,loss/std,lr,momentum
1,23.700117111206055,23.700117111206055,12.252565374203908,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,13.811315536499023,13.811315536499023,3.242484334531359,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,5.9552321434021,5.9552321434021,0.9535907847103707,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,1.635964035987854,1.635964035987854,0.6810772294474495,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.3159649074077606,0.3159649074077606,0.144788793459432,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.14246812462806702,0.14246812462806702,0.01777598906125235,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.09607136994600296,0.09607136994600296,0.013969234821405427,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.07272126525640488,0.07272126525640488,0.006631780959389038,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.09361421316862106,0.09361421316862106,0.0951211425676726,0.0005,0.9
2,0.025823453441262245,0.025823453441262245,0.005437720080801468,0.0005,0.9
3,0.01729630120098591,0.01729630120098591,0.003340189428922491,0.0005,0.9
4,0.013343757949769497,0.013343757949769497,0.0024991592781957116,0.0005,0.9
5,0.01107634324580431,0.01107634324580431,0.002261278566498961,0.0005,0.9
6,0.009587261825799942,0.009587261825799942,0.0018509974318025866,0.0005,0.9
7,0.008429995737969875,0.008429995737969875,0.0017390180119260638,0.0005,0.9
8,0.0076216720044612885,0.0076216720044612885,0.0015611430344951353,0.0005,0.9
9,0.0069399550557136536,0.0069399550557136536,0.0014210346831764872,0.0005,0.9
10,0.006427611690014601,0.006427611690014601,0.001245165667827624,0.0005,0.9
11,0.006032697390764952,0.006032697390764952,0.001278862213144243,0.0005,0.9
12,0.005642238538712263,0.005642238538712263,0.0011739559931964606,0.0005,0.9
13,0.0053345016203820705,0.0053345016203820705,0.0011079579357837685,0.0005,0.9
14,0.005043707322329283,0.005043707322329283,0.0010584514393402046,0.0005,0.9
15,0.004816398490220308,0.004816398490220308,0.0009640009784015516,0.0005,0.9
16,0.004616642836481333,0.004616642836481333,0.0009990262884162224,0.0005,0.9
17,0.004410907626152039,0.004410907626152039,0.000993354367210836,0.0005,0.9
18,0.004245630465447903,0.004245630465447903,0.0009008620785609952,0.0005,0.9
19,0.00403701514005661,0.00403701514005661,0.0008907082864259695,0.0005,0.9
20,0.0039050618652254343,0.0039050618652254343,0.000783944486178908,0.0005,0.9
21,0.0037715956568717957,0.0037715956568717957,0.0007423618339404204,0.0005,0.9
22,0.003655577078461647,0.003655577078461647,0.0008027034107963595,0.0005,0.9
23,0.0035161373671144247,0.0035161373671144247,0.0007388135797894972,0.0005,0.9
24,0.0034073886927217245,0.0034073886927217245,0.0006933497051416,0.0005,0.9
25,0.003300471929833293,0.003300471929833293,0.0007180343485703942,0.0005,0.9
26,0.0031959444750100374,0.0031959444750100374,0.0006051034827056194,0.0005,0.9
27,0.003098419401794672,0.003098419401794672,0.0006459959423266859,0.0005,0.9
28,0.0030004489235579967,0.0030004489235579967,0.0006311363257741318,0.0005,0.9
29,0.0029085746500641108,0.0029085746500641108,0.0006452116287154776,0.0005,0.9
30,0.0028550445567816496,0.0028550445567816496,0.0005770893759368304,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,83.72856903076172,83.72856903076172,0.0,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,48.01758575439453,48.01758575439453,0.0,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,17.484777450561523,17.484777450561523,0.0,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,3.441333055496216,3.441333055496216,1.1680607489267303,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,7.303629398345947,7.303629398345947,1.6777675477907488,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,2.893887519836426,2.893887519836426,1.90145564078713,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.6733593344688416,0.6733593344688416,0.24039204549852458,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.27384811639785767,0.27384811639785767,0.06154045920531808,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.15550141036510468,0.15550141036510468,0.020987669709634352,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.11058283597230911,0.11058283597230911,0.013347733660471196,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.06334076076745987,0.06334076076745987,0.014974719915856671,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.03950776532292366,0.03950776532292366,0.005525887867541159,0.0005,0.9
